meta_pin,meta_year,meta_class,meta_town_code,meta_nbhd,meta_2yr_pri_board_est_bldg,meta_2yr_pri_board_est_land,meta_1yr_pri_board_est_bldg,meta_1yr_pri_board_est_land,meta_mailed_est_bldg,meta_mailed_est_land,meta_certified_est_bldg,meta_certified_est_land,meta_modeling_group,meta_per_ass,meta_cdu,meta_key_pin,meta_multi_code,meta_num_288s_active,meta_sale_date,meta_sale_price,meta_document_num,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_address,geo_property_apt_no,geo_property_city,geo_property_zip,geo_geoid,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,geo_longitude,geo_latitude,econ_tax_rate,econ_tax_amt_paid,econ_midincome,time_sale_year,time_sale_quarter,time_sale_month,time_sale_week,time_sale_day,time_sale_quarter_of_year,time_sale_month_of_year,time_sale_week_of_year,time_sale_day_of_year,time_sale_during_school_year,time_sale_during_holidays,ind_multi_code,ind_large_home,ind_class_error,ind_garage,ind_complete_predictors,ind_288_exceeds_cap,lgbm_value,final_value,ind_large_lot
1.01E+12,2020,204,10,10012,331700,37680,378660,41640,378660,41640,335780,41640,SF,1,GD,1,2,0,7/2/2019,100000,1918322113,7933,132,1,1,1,8,4,1,3,1,5,1,1,1,1,1,2,2,2,2,3,1,2,2,16,1823,2,1,5,1,2,1,137 W STATION ST,2,BARRINGTON,60010-4303,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,6,1,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.1379966,42.15303627,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,463444.8476,386009.1075,2
1.01E+12,2020,204,10,10012,443770,36360,454010,40190,454010,40190,403600,40190,SF,1,GD,1,2,0,7/2/2019,100000,1918322113,7656,100,1,1,1,8,4,1,3,1,5,1,1,2,2,1,2,2,2,2,3,1,2,2,0,2546,2,1,5,1,2,1,246 W LAKE ST,2,BARRINGTON,60010-4252,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.14053729,42.15268798,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,559883.3275,541233.9256,2
1.01E+12,2020,204,10,10012,468500,31350,412940,34650,412940,34650,367280,34650,SF,1,GD,1,2,0,7/2/2019,575000,1918322113,6600,94,1,3,1,12,4,1,1,1,5,1,2,1,3,1,2,2,2,2,3,1,2,2,0,2232,2,1,5,1,2,1,230 W LAKE ST,2,BARRINGTON,60010-4252,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.13985909,42.15268467,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,647090.4129,715290.0287,2
1.01E+12,2020,203,10,10012,467710,41380,423270,45730,423270,45730,293800,45730,SF,1,GD,1,2,0,7/2/2019,100000,1918322113,8712,94,1,2,1,7,4,1,3,2,5,2,1,1,2,1,2,2,2,2,2,2,2,2,0,1697,2,1,1,1,2,1,200 W LAKE ST,2,BARRINGTON,60010-4252,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.13844199,42.15267714,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,397732.3512,442811.071,2
1.01E+12,2020,203,10,10012,27910,30020,290570,33190,290570,33190,257540,33190,SF,1,GD,1,2,0,7/2/2019,100000,1918322113,6322,80,1,1,1,7,3,3,1,1,5,1,1,2,1,1,2,2,2,2,1,1,1,2,0,1577,2,1,5,1,2,1,208 W STATION ST,2,BARRINGTON,60010-4208,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.1389858,42.15358592,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,396875.5908,441857.2059,2
1.01E+12,2020,204,10,10012,328480,33540,376410,37070,376410,37070,334230,37070,SF,1,GD,1,2,0,7/2/2019,556000,2031233187,7062,98,1,4,1,7,3,1,3,1,5,1,1,1,1,1,2,2,2,2,3,1,2,2,72,1860,2,1,5,1,2,1,118 W LAKE ST,2,BARRINGTON,60010-4328,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.13708188,42.15263367,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,475403.7686,395969.845,2
1.01E+12,2020,205,10,10012,272540,51720,362610,57170,362610,57170,319790,57170,SF,1,GD,1,2,0,7/2/2019,855000,2027307405,10890,114,1,1,1,8,3,3,3,2,5,2,0,1,2,2,2,2,2,2,3,1,1,2,0,1372,2,1,2,3,2,1,233 W LAKE ST,2,BARRINGTON,60010-4251,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.13984884,42.15213682,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,376284.3868,598500,2
1.01E+12,2020,204,10,10012,363660,41380,361150,45730,361150,45730,319640,45730,SF,1,GD,1,2,0,7/2/2019,100000,2027307405,8712,100,1,1,1,7,4,1,3,1,5,1,0,1,2,1,2,2,2,2,2,1,2,2,0,2090,2,1,5,1,2,1,248 W LINCOLN AVE,2,BARRINGTON,60010-4268,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.14067473,42.1517822,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,443651.7012,369523.1442,2
1.01E+12,2020,204,10,10012,362330,41380,384630,45730,384630,45730,340730,45730,SF,1,GD,1,2,0,7/2/2019,100000,2027307405,8712,117,1,1,1,8,3,3,1,1,5,1,1,1,2,0,2,2,2,2,5,1,2,2,0,1810,2,1,5,1,2,1,244 W LINCOLN AVE,2,BARRINGTON,60010-4268,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.14044124,42.15177995,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,490413.1992,408471.3906,2
1.01E+12,2020,278,10,10012,422610,31580,404410,34910,404410,34910,359590,34910,SF,1,GD,1,2,0,7/2/2019,100000,2027307405,6650,49,1,1,1,10,4,1,1,1,5,1,0,2,2,2,2,2,2,2,3,1,2,2,55,2426,2,1,2,3,2,1,140 W LINCOLN AVE,2,BARRINGTON,60010-4349,17031804201,8784,0.669398907,0.014344262,0.257513661,0.034836066,0.029599271,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,-88.13821654,42.15176436,7.216,4569.021964,148670,2021,96,288,1252,8766,Q1,Jan,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,508826.0532,491443.8642,2
